question,option_a,option_b,option_c,option_d,correct_answer
देवनागरी लिपि में सामान्यतः हिंदी लिखी जाती है। देवनागरी किस प्रकार की लिपि है?,अबुगिडा/अक्षरात्मक लिपि,चित्रलिपि,रोमन लिपि,क्यूनिफॉर्म लिपि,A
हिंदी दिवस 14 सितंबर को मनाने का प्रमुख कारण क्या है?,14 सितंबर 1949 को संविधान सभा ने हिंदी को संघ की राजभाषा के रूप में स्वीकार किया,14 सितंबर 1950 को संविधान लागू हुआ,14 सितंबर 1947 को स्वतंत्रता मिली,14 सितंबर 1963 को राजभाषा अधिनियम बना,A
'कामायनी' के रचयिता जयशंकर प्रसाद हिंदी साहित्य के किस काल से प्रमुख रूप से जुड़े हैं?,छायावाद,भक्तिकाल,रीतिकाल,आदिकाल,A
सूर्यकांत त्रिपाठी 'निराला' हिंदी साहित्य के किस आंदोलन से प्रमुख रूप से जुड़े हैं?,छायावाद,प्रगतिवाद,रीतिकाल,आदिकाल,A
मैथिलीशरण गुप्त की प्रसिद्ध कृति कौन-सी है?,भारत-भारती,मधुशाला,कामायनी,गोदान,A
'गोदान' के लेखक मुंशी प्रेमचंद मुख्यतः किस विधा के लिए प्रसिद्ध हैं?,उपन्यास और कहानी,नाटक,यात्रावृत्तांत,व्याकरण,A
'उदंत मार्तंड' का प्रकाशन किस भाषा के इतिहास में महत्वपूर्ण माना जाता है?,हिंदी पत्रकारिता,बांग्ला पत्रकारिता,उर्दू पत्रकारिता,मराठी पत्रकारिता,A
पहला विश्व हिंदी सम्मेलन किस वर्ष नागपुर में आयोजित हुआ था?,1975,1965,1985,1995,A
"राजभाषा अधिनियम, 1963 में 1967 में संशोधन किया गया था। यह अधिनियम किस विषय से संबंधित है?",संघ के राजकीय कार्यों में भाषाओं के प्रयोग से,पंचायती राज से,शिक्षा के अधिकार से,नागरिकता से,A
"राजभाषा नियम, 1976 किस वर्ष बनाए गए थे?",1976,1963,1949,1985,A
आठवीं अनुसूची में शामिल भाषाओं की संख्या वर्तमान व्यवस्था में कितनी है?,22,14,18,25,A
बांग्ला साहित्य के प्रसिद्ध लेखक बंकिमचंद्र चट्टोपाध्याय की रचना कौन-सी है?,आनंदमठ,पाथेर पांचाली,देवदास,गीतांजलि,A
'गीतांजलि' के रचयिता कौन हैं?,रवीन्द्रनाथ टैगोर,बंकिमचंद्र चट्टोपाध्याय,शरतचंद्र चट्टोपाध्याय,काजी नजरुल इस्लाम,A
काजी नजरुल इस्लाम को बांग्ला साहित्य में किस उपनाम से जाना जाता है?,विद्रोही कवि,राष्ट्रकवि,कविगुरु,उपन्यास सम्राट,A
'पाथेर पांचाली' किस भाषा के साहित्य की प्रसिद्ध कृति है?,बांग्ला,हिंदी,मराठी,उर्दू,A
आशापूर्णादेवी किस भाषा के साहित्य से संबंधित हैं?,बांग्ला,हिंदी,तमिल,मराठी,A
वार्षिक राजभाषा पत्रिका ‘तरंग’ की मुख्य सम्पादक कौन हैं?,आलोक कुमार चौधरी / कार्यपालक निदेशक,सुप्रिय भट्टाचार्य / महाप्रबन्धक,प्रियंका शर्मा / संयुक्त महाप्रबन्धक,राम नरेश मीना / संयुक्त महाप्रबन्धक,A
राष्ट्रीय गीत ‘वन्दे मातरम्’ के रचयिता का नाम क्या है?,बंकिम चन्द्र चैटर्जी,रवीन्द्र नाथ टैगोर,माखन लाल चतुर्वेदी,मैथिलीशरण गुप्त,A
‘तरंग’ पत्रिका में ‘दमदम की गवाही’ के रचयिता का नाम क्या है?,दया शंकर उपाध्याय,भास्कर कु कर्ण,अमर्त्य तालुकदार,राम प्रवेश कुमार / कार्यशाला प्रबन्धक,C
28वें नेशनल डिफेंस एग्जिबिशन का आयोजन किस वर्ष में हुआ था?,2026,2008,2025,2024,C
विनोबा भावे का जन्म कब हुआ था?,1860,1894,1898,1901,B
"आयुध निर्माणी दमदम, कोलकाता राजभाषा कार्यान्वयन समिति के अध्यक्ष का नाम बताइए।",आलोक कुमार चौधरी / कार्यपालक निदेशक,सुप्रिय भट्टाचार्य / महाप्रबन्धक,प्रियंका शर्मा / संयुक्त महाप्रबन्धक,रामानुज भट्टाचार्य / संयुक्त महाप्रबन्धक,A
